alpha=0.2
gamma=0.6
selection_rate=1
max_gen=2000
job_num=200
machine_num=5
pop_size=100
Threshold=18457
scenario_num=20
{
	{
		{45, 77, 27, 65, 39},
		{53, 59, 69, 82, 26},
		{76, 90, 63, 74, 50},
		{84, 36, 97, 54, 71},
		{49, 96, 90, 54, 31},
		{47, 31, 22, 68, 80},
		{86, 26, 61, 30, 20},
		{95, 21, 47, 23, 14},
		{52, 18, 76, 88, 89},
		{80, 31, 18, 61, 38},
		{37, 46, 63, 58, 52},
		{20, 81, 44, 97, 59},
		{17, 51, 79, 98, 92},
		{74, 75, 99, 72, 97},
		{46, 45, 84, 31, 37},
		{23, 53, 94, 77, 63},
		{34, 80, 82, 71, 90},
		{68, 42, 87, 58, 72},
		{32, 57, 95, 59, 58},
		{68, 60, 53, 67, 28},
		{98, 46, 20, 33, 23},
		{91, 17, 51, 52, 29},
		{57, 81, 83, 46, 88},
		{83, 13, 91, 54, 35},
		{67, 85, 93, 76, 73},
		{36, 71, 56, 39, 80},
		{60, 77, 68, 27, 47},
		{47, 20, 73, 69, 81},
		{88, 89, 95, 31, 90},
		{93, 44, 27, 12, 86},
		{74, 57, 87, 76, 51},
		{86, 92, 74, 18, 64},
		{59, 94, 84, 24, 59},
		{48, 26, 82, 69, 37},
		{30, 75, 66, 85, 19},
		{66, 30, 20, 42, 83},
		{88, 18, 90, 73, 23},
		{77, 57, 56, 39, 25},
		{24, 20, 82, 81, 79},
		{34, 46, 34, 67, 12},
		{13, 58, 41, 81, 25},
		{28, 98, 62, 39, 90},
		{85, 69, 70, 99, 81},
		{59, 17, 85, 54, 48},
		{34, 30, 19, 96, 29},
		{15, 62, 36, 61, 42},
		{11, 41, 78, 58, 31},
		{57, 88, 57, 26, 22},
		{30, 35, 82, 14, 62},
		{84, 77, 95, 78, 73},
		{91, 45, 65, 46, 35},
		{22, 46, 69, 36, 58},
		{48, 17, 86, 89, 95},
		{66, 99, 71, 42, 36},
		{70, 71, 29, 24, 30},
		{89, 30, 45, 57, 30},
