alpha=0.2
gamma=0.6
selection_rate=0.5
max_gen=6000
job_num=300
machine_num=20
pop_size=100
Threshold=38808
scenario_num=20
{
	{
		{85, 14, 19, 10, 8, 64, 69, 73, 60, 70, 29, 37, 10, 8, 91, 92, 95, 13, 48, 4},
		{48, 49, 86, 59, 51, 53, 80, 23, 54, 31, 69, 86, 9, 56, 64, 73, 11, 79, 21, 5},
		{32, 1, 92, 64, 96, 75, 22, 23, 49, 59, 49, 86, 40, 23, 77, 21, 85, 40, 6, 79},
		{69, 43, 76, 90, 51, 43, 63, 13, 31, 75, 70, 90, 27, 97, 78, 84, 55, 10, 76, 8},
		{38, 35, 99, 10, 32, 49, 32, 2, 1, 9, 96, 88, 51, 94, 99, 54, 38, 49, 45, 73},
		{75, 46, 89, 84, 28, 16, 43, 78, 14, 45, 99, 91, 45, 6, 3, 27, 42, 71, 81, 33},
		{40, 51, 85, 18, 7, 48, 11, 35, 83, 33, 32, 74, 55, 40, 22, 30, 49, 14, 86, 67},
		{20, 56, 78, 24, 28, 47, 8, 65, 33, 90, 86, 28, 10, 39, 45, 70, 40, 82, 79, 31},
		{41, 67, 10, 91, 10, 97, 28, 96, 86, 94, 46, 41, 67, 78, 80, 60, 71, 44, 9, 45},
		{6, 68, 1, 99, 44, 19, 73, 30, 67, 56, 81, 72, 26, 40, 60, 90, 16, 39, 99, 6},
		{57, 43, 15, 5, 8, 13, 50, 5, 17, 59, 14, 30, 73, 60, 93, 33, 81, 11, 65, 90},
		{54, 56, 91, 46, 68, 40, 1, 91, 79, 60, 82, 43, 13, 72, 26, 62, 57, 99, 49, 61},
		{28, 76, 5, 91, 26, 12, 66, 18, 87, 85, 45, 8, 67, 82, 26, 62, 47, 89, 57, 61},
		{87, 45, 18, 45, 90, 24, 11, 73, 2, 89, 60, 30, 33, 26, 93, 94, 62, 26, 11, 22},
		{77, 29, 95, 19, 38, 38, 53, 77, 2, 23, 49, 16, 5, 76, 25, 61, 60, 92, 88, 45},
		{18, 29, 70, 58, 68, 97, 95, 3, 84, 38, 24, 41, 57, 19, 11, 71, 34, 38, 34, 73},
		{26, 3, 37, 55, 83, 2, 85, 72, 59, 97, 86, 77, 93, 55, 58, 4, 77, 73, 35, 50},
		{78, 96, 93, 85, 15, 25, 23, 53, 88, 70, 38, 52, 13, 70, 25, 72, 25, 57, 99, 35},
		{91, 87, 8, 45, 52, 22, 32, 25, 33, 20, 21, 26, 5, 87, 9, 84, 80, 45, 33, 49},
		{20, 87, 15, 94, 19, 73, 47, 49, 66, 32, 87, 50, 43, 27, 89, 48, 88, 95, 22, 59},
		{81, 87, 11, 40, 55, 62, 11, 15, 39, 80, 93, 94, 44, 51, 55, 1, 65, 60, 61, 45},
		{17, 62, 2, 75, 43, 59, 96, 12, 28, 29, 89, 45, 3, 71, 66, 75, 3, 83, 11, 96},
		{55, 58, 75, 15, 9, 99, 91, 94, 43, 32, 47, 84, 53, 47, 58, 75, 40, 4, 16, 3},
		{72, 66, 83, 94, 93, 28, 83, 2, 39, 58, 31, 29, 16, 57, 62, 83, 37, 21, 9, 69},
		{69, 36, 62, 8, 95, 75, 93, 94, 62, 50, 24, 76, 76, 32, 45, 75, 70, 80, 90, 45},
		{49, 30, 93, 37, 44, 49, 53, 45, 43, 3, 11, 21, 80, 86, 1, 70, 59, 35, 34, 61},
		{70, 70, 7, 47, 56, 70, 99, 50, 3, 49, 93, 67, 10, 97, 14, 58, 94, 88, 28, 30},
		{9, 63, 99, 58, 68, 36, 22, 78, 12, 37, 94, 36, 93, 45, 49, 10, 55, 24, 85, 28},
		{39, 11, 84, 4, 2, 87, 88, 98, 29, 15, 25, 97, 21, 29, 70, 89, 88, 91, 30, 84},
		{46, 4, 4, 23, 15, 60, 59, 60, 29, 5, 51, 20, 37, 7, 12, 13, 46, 78, 13, 96},
		{82, 66, 27, 36, 87, 68, 16, 20, 78, 49, 78, 38, 20, 72, 96, 7, 14, 37, 21, 69},
		{14, 40, 68, 58, 80, 5, 69, 36, 54, 86, 21, 33, 61, 47, 13, 83, 37, 18, 80, 88},
		{66, 6, 97, 61, 46, 74, 36, 73, 37, 81, 49, 73, 63, 7, 75, 46, 72, 33, 11, 53},
		{22, 5, 29, 87, 32, 20, 96, 33, 28, 44, 71, 21, 90, 25, 81, 59, 82, 54, 60, 43},
