alpha=0.2
gamma=0.6
selection_rate=1
max_gen=5000
job_num=30
machine_num=15
pop_size=100
Threshold=3804
scenario_num=20
{
	{
		{37, 84, 39, 14, 50, 43, 64, 43, 72, 16, 98, 47, 26, 14, 46},
		{31, 72, 18, 23, 60, 44, 62, 10, 81, 91, 61, 53, 21, 10, 74},
		{42, 12, 44, 41, 45, 34, 32, 19, 67, 43, 63, 58, 30, 51, 45},
		{28, 87, 37, 31, 67, 97, 95, 10, 46, 18, 22, 33, 93, 98, 30},
		{53, 12, 32, 88, 83, 12, 68, 19, 82, 98, 39, 93, 65, 96, 19},
		{15, 64, 21, 97, 16, 64, 81, 95, 64, 60, 34, 91, 86, 24, 90},
		{90, 28, 22, 79, 22, 37, 30, 66, 58, 33, 43, 95, 89, 64, 66},
		{61, 87, 81, 67, 35, 44, 86, 71, 21, 76, 36, 84, 73, 16, 54},
		{49, 76, 69, 47, 78, 38, 57, 25, 71, 92, 99, 98, 93, 82, 24},
		{69, 23, 72, 15, 41, 12, 19, 87, 97, 89, 22, 71, 49, 21, 36},
		{20, 77, 24, 57, 42, 28, 48, 85, 81, 67, 99, 64, 17, 38, 12},
		{82, 39, 32, 77, 71, 19, 87, 51, 44, 27, 58, 84, 28, 31, 55},
		{70, 75, 30, 96, 68, 98, 98, 57, 67, 14, 20, 58, 94, 14, 74},
		{38, 91, 70, 58, 57, 23, 75, 35, 62, 29, 57, 66, 61, 67, 14},
		{30, 86, 84, 24, 68, 44, 57, 47, 70, 70, 33, 52, 98, 75, 97},
		{69, 95, 30, 69, 43, 42, 35, 79, 48, 81, 24, 54, 84, 43, 68},
		{44, 82, 75, 18, 72, 55, 72, 70, 80, 12, 70, 19, 73, 73, 54},
		{28, 72, 23, 58, 64, 56, 22, 38, 46, 55, 52, 39, 79, 47, 14},
		{52, 52, 70, 63, 78, 70, 22, 40, 97, 78, 77, 37, 75, 63, 50},
		{77, 51, 74, 34, 46, 43, 98, 38, 36, 88, 58, 37, 67, 76, 42},
		{48, 50, 36, 89, 67, 54, 32, 14, 35, 36, 91, 83, 41, 27, 44},
		{14, 73, 99, 48, 16, 76, 95, 75, 42, 92, 73, 26, 75, 71, 56},
		{53, 99, 93, 85, 71, 22, 80, 66, 34, 76, 28, 78, 60, 90, 46},
		{27, 11, 13, 69, 56, 99, 81, 60, 50, 55, 28, 50, 27, 43, 83},
		{76, 75, 64, 34, 43, 60, 35, 88, 87, 43, 98, 52, 85, 41, 17},
		{88, 43, 67, 81, 17, 58, 99, 15, 24, 21, 22, 85, 40, 69, 92},
		{78, 96, 75, 39, 81, 79, 84, 78, 83, 49, 37, 12, 59, 48, 25},
		{29, 75, 34, 59, 87, 86, 14, 73, 45, 71, 99, 68, 24, 18, 45},
		{82, 28, 40, 69, 35, 80, 84, 55, 50, 13, 22, 58, 80, 68, 33},
		{88, 71, 19, 39, 42, 10, 95, 23, 88, 10, 13, 22, 94, 67, 72}
	},
	{
		{19, 49, 51, 74, 52, 55, 84, 79, 81, 59, 54, 32, 65, 47, 82},
		{72, 67, 61, 28, 91, 99, 60, 32, 16, 57, 54, 68, 95, 20, 26},
		{10, 35, 35, 68, 24, 24, 83, 19, 71, 97, 50, 67, 72, 33, 75},
		{58, 72, 50, 78, 63, 80, 99, 82, 25, 59, 16, 57, 76, 58, 33},
		{68, 18, 82, 11, 71, 33, 18, 42, 12, 78, 18, 98, 67, 38, 88},
		{34, 10, 66, 80, 73, 41, 97, 87, 26, 54, 28, 13, 94, 24, 55},
		{48, 43, 72, 68, 63, 43, 79, 71, 67, 80, 27, 90, 81, 51, 78},
		{39, 32, 23, 19, 96, 12, 62, 10, 96, 24, 76, 83, 91, 16, 62},
		{74, 30, 35, 18, 64, 64, 57, 37, 27, 13, 98, 12, 54, 63, 12},
		{30, 52, 33, 36, 20, 73, 14, 83, 62, 79, 41, 46, 96, 93, 78},
		{12, 51, 64, 88, 47, 43, 45, 49, 11, 72, 60, 31, 26, 79, 85},
		{15, 78, 22, 48, 42, 68, 38, 11, 22, 36, 15, 23, 46, 85, 15},
		{78, 50, 19, 91, 17, 77, 47, 67, 76, 56, 37, 29, 54, 52, 11},
		{83, 50, 53, 29, 49, 44, 20, 67, 62, 60, 35, 49, 71, 57, 35},
		{60, 13, 77, 34, 42, 57, 79, 59, 67, 97, 48, 69, 98, 16, 78},
		{76, 11, 15, 45, 92, 21, 43, 21, 15, 43, 18, 36, 51, 17, 84},
		{13, 50, 82, 20, 34, 41, 65, 42, 61, 96, 73, 27, 53, 37, 66},
		{94, 95, 93, 34, 72, 92, 95, 68, 43, 51, 11, 17, 64, 92, 56},
		{45, 93, 97, 44, 29, 19, 92, 21, 21, 84, 12, 13, 28, 65, 69},
		{86, 53, 16, 15, 16, 89, 18, 46, 39, 28, 53, 90, 66, 31, 17},
		{98, 28, 98, 90, 75, 29, 32, 26, 77, 90, 62, 17, 83, 91, 75},
		{60, 61, 23, 78, 24, 39, 26, 11, 95, 67, 69, 49, 36, 12, 48},
		{66, 59, 87, 46, 72, 22, 35, 86, 66, 48, 58, 61, 91, 84, 17},
		{46, 82, 99, 97, 46, 57, 62, 73, 72, 81, 69, 14, 10, 16, 10},
		{92, 60, 18, 91, 21, 95, 12, 46, 72, 54, 37, 96, 72, 84, 36},
		{85, 70, 96, 38, 35, 62, 42, 24, 36, 72, 75, 40, 40, 63, 31},
		{97, 14, 86, 94, 53, 62, 28, 21, 27, 60, 57, 74, 98, 78, 28},
		{53, 57, 84, 88, 53, 67, 98, 99, 79, 21, 55, 25, 71, 47, 33},
